# A phi l a0 a1 a2 a3 a4 a5 logL logPrior
5.711635485292184539e-02 5.566877916377102942e+00 1.220056916296239002e+01 2.613004067452558502e+03 -4.134206843487117112e+03 8.493884814212176934e+03 -8.807208029135281322e+03 4.478539666097056397e+03 -8.937972266518469269e+02 1.765434392571279432e+01 -3.959344711998390665e+01
5.969467448252226832e-02 6.074150871742451940e+00 1.238605504144063296e+01 2.618994406621803591e+03 -4.165464476914813531e+03 8.558006543837900608e+03 -8.871856443290298557e+03 4.510596285094517953e+03 -9.000579039748765808e+02 1.766682869238648834e+01 -3.959344711998390665e+01
5.839653294309002374e-02 5.559205727628696359e+00 1.218780194581516163e+01 2.628450552068229172e+03 -4.217579730267673767e+03 8.671726107779981248e+03 -8.994509928861914887e+03 4.575897655182853669e+03 -9.137732024656226031e+02 1.766737116071043090e+01 -3.959344711998390665e+01
5.350408925583693964e-02 5.571841420679812806e+00 1.221890714352036333e+01 2.635683989820496663e+03 -4.257463424169688551e+03 8.758460352980882817e+03 -9.087518303432998437e+03 4.625101868967080918e+03 -9.240529651197019803e+02 1.766759293978194023e+01 -3.959344711998390665e+01
5.545646723578679521e-02 5.560282063850561229e+00 1.219502292860473602e+01 2.625850798488787404e+03 -4.204797838504911851e+03 8.647097007453190599e+03 -8.971253239375404519e+03 4.565132361227993897e+03 -9.118193697224928655e+02 1.773931337884932091e+01 -3.959344711998390665e+01
5.472281249173643891e-02 5.515153046359118072e+00 1.219314905886404610e+01 2.625562519899429390e+03 -4.202507559895634586e+03 8.641044251087612793e+03 -8.964100265819713968e+03 4.561252674055586795e+03 -9.110405275733569397e+02 1.780957839344120686e+01 -3.959344711998390665e+01
5.918059536344512372e-02 5.647063776159169990e+00 1.224165632002496018e+01 2.625945867022891434e+03 -4.204325180465772064e+03 8.643711221581024802e+03 -8.965017099159866120e+03 4.560501511572032541e+03 -9.105999224155017373e+02 1.783784564263774897e+01 -3.959344711998390665e+01
5.315752302142379149e-02 5.749784330007085664e+00 1.228106682486524193e+01 2.625642873964918181e+03 -4.202351793286732573e+03 8.639180830315184721e+03 -8.960322538124364655e+03 4.558293411394673058e+03 -9.102280766417385394e+02 1.788999274697570740e+01 -3.959344711998390665e+01
5.363903762876207071e-02 5.507129896249480794e+00 1.220072315507660576e+01 2.637236413177321083e+03 -4.262441174512220641e+03 8.762338538750223961e+03 -9.085118199517468383e+03 4.620810232326107325e+03 -9.226117642233712104e+02 1.795593689779514435e+01 -3.959344711998390665e+01
5.528408540017321071e-02 5.285790975943273295e+00 1.211225395920770076e+01 2.637210488483135123e+03 -4.264202794259629627e+03 8.769457570699418284e+03 -9.095413197567253519e+03 4.627262445232853679e+03 -9.241013632009305638e+02 1.795982676464155148e+01 -3.959344711998390665e+01
5.757032139762505163e-02 5.664841639531249307e+00 1.222919343160543626e+01 2.625454328065193749e+03 -4.202483983646035085e+03 8.641670096746989657e+03 -8.964978403176153734e+03 4.561620387025562195e+03 -9.110685014903709771e+02 1.800893150952668620e+01 -3.959344711998390665e+01
5.915431490890435406e-02 5.778504239600715131e+00 1.228438441492706801e+01 2.626672821278611991e+03 -4.209666777407151130e+03 8.658328190737447585e+03 -8.983966001757566119e+03 4.572242077138170316e+03 -9.133963688240606871e+02 1.801254439648959504e+01 -3.959344711998390665e+01
5.568092306552784032e-02 5.799298468899150905e+00 1.229621892840616404e+01 2.617660771696298070e+03 -4.157088015165971228e+03 8.538249131253098312e+03 -8.849663669581137583e+03 4.498597955404529785e+03 -8.975391089783330472e+02 1.803319515937935691e+01 -3.959344711998390665e+01
5.508958257678322340e-02 5.947541445401783200e+00 1.233801959877464327e+01 2.626955168021779173e+03 -4.205693437778008047e+03 8.638307041687854507e+03 -8.951004495855218920e+03 4.549106011634928109e+03 -9.074537266559307227e+02 1.813647768899586410e+01 -3.959344711998390665e+01
5.851490333354280454e-02 6.150404251721339755e+00 1.240755549990777240e+01 2.610149322755368757e+03 -4.119663248315845522e+03 8.464709345329119969e+03 -8.778288531413521923e+03 4.464316771889068150e+03 -8.910109940802126403e+02 1.816010692255265724e+01 -3.959344711998390665e+01
6.080629040961010173e-02 5.748713733277957871e+00 1.225952434667048685e+01 2.621690779021610979e+03 -4.180000115964747238e+03 8.588652092725580587e+03 -8.903385464096392752e+03 4.526399536563725633e+03 -9.031399869185441958e+02 1.827801257686641634e+01 -3.959344711998390665e+01
5.761788054694930161e-02 5.592898297555814580e+00 1.222001171568054900e+01 2.636338027202195008e+03 -4.258497894627321330e+03 8.755479517458910777e+03 -9.079008814340892059e+03 4.617909889119295258e+03 -9.220114487218892236e+02 1.828738848827590857e+01 -3.959344711998390665e+01
5.489626519566544183e-02 6.038543464291113771e+00 1.235440476226878914e+01 2.614972593669317121e+03 -4.142930568371521076e+03 8.508435909317398909e+03 -8.818299344246775945e+03 4.482147006265694472e+03 -8.941063943744049993e+02 1.831320603347354137e+01 -3.959344711998390665e+01
5.684491571710018065e-02 5.797239203247872119e+00 1.227977154784315061e+01 2.624313170754222938e+03 -4.196287343244913245e+03 8.627876592004911799e+03 -8.949256412387103410e+03 4.552491698714378799e+03 -9.089274511878368230e+02 1.831800494056907880e+01 -3.959344711998390665e+01
5.364602281877824119e-02 5.522739028124276750e+00 1.219565538363864476e+01 2.627382584322101138e+03 -4.210416191590426934e+03 8.653390879766051512e+03 -8.972024722816340727e+03 4.562656478867395890e+03 -9.107715608450208720e+02 1.835815102925646514e+01 -3.959344711998390665e+01
5.648622762672141084e-02 5.390489350384672029e+00 1.214353954076078423e+01 2.645373110524526965e+03 -4.305918193656189942e+03 8.853686664746124734e+03 -9.179443801758883637e+03 4.668696635230382526e+03 -9.321818661029985833e+02 1.837797418118345405e+01 -3.959344711998390665e+01
5.625880288635318194e-02 6.004953526107748907e+00 1.234377120995721100e+01 2.630366159754575165e+03 -4.227688416514944038e+03 8.693047085836082260e+03 -9.017015952769570504e+03 4.587802651940060059e+03 -9.162984467439403033e+02 1.839514522272195762e+01 -3.959344711998390665e+01
5.411152759613446772e-02 5.803001381931009561e+00 1.228843072472924369e+01 2.617292559885502669e+03 -4.155872564221703215e+03 8.537314612655898600e+03 -8.850418309677193974e+03 4.499885101504998602e+03 -8.979850945313671673e+02 1.841594660822367402e+01 -3.959344711998390665e+01
5.355847517072836322e-02 5.912089913916257267e+00 1.233497091357456377e+01 2.625597294132882325e+03 -4.202276888648936620e+03 8.639214605177681733e+03 -8.960370147067871585e+03 4.558223236483805522e+03 -9.101740536919354554e+02 1.847023939032084883e+01 -3.959344711998390665e+01
5.979261459472024615e-02 5.689544884680912240e+00 1.225564566643444486e+01 2.633923863136675664e+03 -4.245852896807798061e+03 8.729071545537242855e+03 -9.051629004309492302e+03 4.603888108353411553e+03 -9.191859026699642072e+02 1.851547033173951107e+01 -3.959344711998390665e+01
5.763690398901905737e-02 5.822426877896383246e+00 1.227992244752268824e+01 2.622531033405905873e+03 -4.186603636406007354e+03 8.607239514279348441e+03 -8.927665723073836489e+03 4.541381546734986841e+03 -9.066725119289493477e+02 1.854833844928990061e+01 -3.959344711998390665e+01
5.613307289180435172e-02 6.118869767015823413e+00 1.240592465456221483e+01 2.618806421365777624e+03 -4.164846679549196779e+03 8.557269355410500793e+03 -8.871363180467387792e+03 4.510295683504141380e+03 -8.999462500613602742e+02 1.855223752417711580e+01 -3.959344711998390665e+01
5.839575582722375535e-02 5.624222737321437293e+00 1.224047127107111521e+01 2.629702716814005271e+03 -4.224453665589837328e+03 8.686468986448959186e+03 -9.009978870776387339e+03 4.583878246890510127e+03 -9.154021395427206471e+02 1.855555945053968969e+01 -3.959344711998390665e+01
5.903687153544558142e-02 6.017530940399547390e+00 1.235879123039535088e+01 2.626907971618658394e+03 -4.207257834644085051e+03 8.645303240792145516e+03 -8.962016463341407871e+03 4.556640932276211970e+03 -9.093611586893227923e+02 1.862696806229737945e+01 -3.959344711998390665e+01
5.992986088842844339e-02 5.844043830642366544e+00 1.230799598503562109e+01 2.620501065243437552e+03 -4.174025030333452378e+03 8.577236720145863728e+03 -8.893126010764919556e+03 4.522153644129451095e+03 -9.025224990473996058e+02 1.867718945493949789e+01 -3.959344711998390665e+01
5.611442145445480478e-02 6.174578106963992674e+00 1.241410431776120404e+01 2.609730459923017861e+03 -4.114956216945293818e+03 8.449020838709742748e+03 -8.755491405970125925e+03 4.449105710284328779e+03 -8.871912471844475476e+02 1.869968530460084821e+01 -3.959344711998390665e+01
5.449284655226589030e-02 5.555181486740046637e+00 1.221333098297542819e+01 2.638636759361584154e+03 -4.270452325389904217e+03 8.780073975095194328e+03 -9.104221089832164580e+03 4.630885097398112521e+03 -9.247052488861883148e+02 1.871426006670975184e+01 -3.959344711998390665e+01
5.883799046759333184e-02 5.682321146698421366e+00 1.223976912961613372e+01 2.620198127090765411e+03 -4.173590781818184951e+03 8.579199868073343168e+03 -8.898595703932465767e+03 4.526930302272970948e+03 -9.039279577728386812e+02 1.876168541521082389e+01 -3.959344711998390665e+01
5.768197409979819446e-02 6.059352153260264551e+00 1.237776238262317108e+01 2.615560745491172838e+03 -4.147677966822403505e+03 8.521789104422286982e+03 -8.835545613126467288e+03 4.492625438635021055e+03 -8.965387832529291927e+02 1.877558669780546907e+01 -3.959344711998390665e+01
5.883698125977837590e-02 5.997258985007299259e+00 1.234437873869228675e+01 2.606647406700819374e+03 -4.099435712989139574e+03 8.418650281874161010e+03 -8.726696633125395238e+03 4.435910804502422252e+03 -8.848617487529381833e+02 1.879437301888868461e+01 -3.959344711998390665e+01
5.761362625043541658e-02 5.720410543901883749e+00 1.227281860107450129e+01 2.620992992464854979e+03 -4.175212943927110246e+03 8.576582840018123534e+03 -8.889060399143747418e+03 4.518265149227418078e+03 -9.013517767844410855e+02 1.890456143700327729e+01 -3.959344711998390665e+01
6.077507031245656804e-02 5.803762425398730329e+00 1.227855031530409846e+01 2.615887659760118368e+03 -4.149764867511435114e+03 8.526866510307676435e+03 -8.841465708749363330e+03 4.495951209319522604e+03 -8.972601872787220145e+02 1.895938374955116856e+01 -3.959344711998390665e+01
5.545056836975174874e-02 5.363333850973535988e+00 1.215497767600139944e+01 2.635713844489037911e+03 -4.256403064171622646e+03 8.753693380891572815e+03 -9.079925396388760419e+03 4.619826594942463998e+03 -9.226965940489538980e+02 1.897996870538774772e+01 -3.959344711998390665e+01
5.857682612231705083e-02 5.456677754936549718e+00 1.218874141757213714e+01 2.637054224243405770e+03 -4.261011348097332302e+03 8.757862360972761962e+03 -9.078433745216210809e+03 4.616097900514940193e+03 -9.213565325899342042e+02 1.898383261868216110e+01 -3.959344711998390665e+01
5.781540728684866903e-02 5.877146887752989102e+00 1.231337308828337029e+01 2.618769700876000570e+03 -4.162551840543066646e+03 8.548683284223710871e+03 -8.859289288793946980e+03 4.502880177644900868e+03 -8.982747115135177864e+02 1.900682032209926930e+01 -3.959344711998390665e+01
5.783835116785174257e-02 5.514204128526494664e+00 1.218852884666096692e+01 2.635268959751597322e+03 -4.252745742503913789e+03 8.743161510770738460e+03 -9.065965087901104198e+03 4.611133851818141011e+03 -9.206385129323932688e+02 1.907690115510309781e+01 -3.959344711998390665e+01
5.495539160149217478e-02 5.874676491345146800e+00 1.230093040976303875e+01 2.636184697559903725e+03 -4.258765655800505556e+03 8.758359597791464694e+03 -9.084472781566124468e+03 4.622035734452418183e+03 -9.231303122733813780e+02 1.908645013114815114e+01 -3.959344711998390665e+01
5.505743616727514639e-02 5.886106451604236511e+00 1.233303176159411230e+01 2.622860836140490392e+03 -4.186010991975877914e+03 8.601016886343424630e+03 -8.916065842392164996e+03 4.532848170791123266e+03 -9.044355912620178515e+02 1.912202131938683181e+01 -3.959344711998390665e+01
5.611357652741653240e-02 6.158056862536282594e+00 1.241602646895588080e+01 2.610555413706833406e+03 -4.120839200377462475e+03 8.465039084626931071e+03 -8.776381367853347911e+03 4.462197855383266869e+03 -8.903576038942554760e+02 1.915521185177917118e+01 -3.959344711998390665e+01
5.551515731987093777e-02 5.527256928295428473e+00 1.219966035855683373e+01 2.627850916662111558e+03 -4.213933494908608736e+03 8.663404929766105852e+03 -8.985508601936211562e+03 4.571252769690767309e+03 -9.128558064527275064e+02 1.920238450048888623e+01 -3.959344711998390665e+01
5.918256226034286638e-02 5.668380124860184388e+00 1.225080777726780212e+01 2.620472046468062672e+03 -4.172862522942940814e+03 8.572977436277937159e+03 -8.887192795435184962e+03 4.518533021399640347e+03 -9.017087989099514971e+02 1.920391364766985731e+01 -3.959344711998390665e+01
5.407907725056470410e-02 5.477505073072553188e+00 1.218836861843643860e+01 2.635569827027157316e+03 -4.255825160127976233e+03 8.753183750262725880e+03 -9.080553594284445353e+03 4.621007394780756840e+03 -9.231683511632560339e+02 1.920984931973264054e+01 -3.959344711998390665e+01
5.775389303343940461e-02 5.836059940548044445e+00 1.228575173229774187e+01 2.611110637580323328e+03 -4.123583314864380554e+03 8.470224648134420931e+03 -8.780976229499688998e+03 4.464038962106441431e+03 -8.906015125795998983e+02 1.921529196446098098e+01 -3.959344711998390665e+01
5.671068600098754658e-02 6.194241360857117407e+00 1.240547376147662462e+01 2.611700970715642143e+03 -4.125905662319898511e+03 8.473244206290732109e+03 -8.782057774601322308e+03 4.463500161623646818e+03 -8.902663773890568564e+02 1.922819725743062236e+01 -3.959344711998390665e+01
5.569861241676190428e-02 5.892639293556910296e+00 1.231424094417671888e+01 2.617432387961652239e+03 -4.159486444274157293e+03 8.550901910301865428e+03 -8.870636504406667882e+03 4.513316152361015156e+03 -9.013124005254727535e+02 1.922853940219732038e+01 -3.959344711998390665e+01
5.451518654744970382e-02 5.534837243053819300e+00 1.220049423399536259e+01 2.625886090531348145e+03 -4.203571133676933641e+03 8.641857450845584026e+03 -8.963442307102432096e+03 4.560139762769186746e+03 -9.106580739454141167e+02 1.925540079719913322e+01 -3.959344711998390665e+01
5.718472708063735560e-02 5.683277805460734022e+00 1.223007130560573685e+01 2.624348882743817285e+03 -4.193912105988131771e+03 8.617620299307604000e+03 -8.933381370918999892e+03 4.541843821684517025e+03 -9.063044611309744596e+02 1.926467433207537994e+01 -3.959344711998390665e+01
5.660841847752374340e-02 5.896621468459011695e+00 1.232248601979269687e+01 2.626034955721527240e+03 -4.204927402951000659e+03 8.645123820212565988e+03 -8.966478767294083809e+03 4.561145443377662559e+03 -9.106822548311329228e+02 1.926577269438682549e+01 -3.959344711998390665e+01
5.370544676257835853e-02 5.629009877943583540e+00 1.221503129131117937e+01 2.636242101632341928e+03 -4.258406348082638942e+03 8.756359122588672108e+03 -9.081329237781159463e+03 4.620019175491973328e+03 -9.226710419357369801e+02 1.927855017753155664e+01 -3.959344711998390665e+01
5.433918110993306988e-02 5.749096223863918276e+00 1.227178929749673486e+01 2.620408704163103266e+03 -4.174053525255062596e+03 8.578475176090665627e+03 -8.895773820259846616e+03 4.524284974945680005e+03 -9.031262365817829050e+02 1.930888892207831375e+01 -3.959344711998390665e+01
5.436076001670381991e-02 5.920524313992269860e+00 1.234095402689488097e+01 2.624052407103889436e+03 -4.193138667430642272e+03 8.617991144092915420e+03 -8.936147512089604788e+03 4.544613291802935237e+03 -9.071560059491851007e+02 1.931172970735096328e+01 -3.959344711998390665e+01
5.826968977906269581e-02 5.758575542448550522e+00 1.228344150557834347e+01 2.637837393424490529e+03 -4.266484967708831391e+03 8.771919518557742776e+03 -9.095396501259705474e+03 4.625833397447589050e+03 -9.234982068803149104e+02 1.932592795075955650e+01 -3.959344711998390665e+01
5.753628767961314200e-02 5.704987361219994391e+00 1.226699513419029230e+01 2.622926033582356467e+03 -4.184936434585251845e+03 8.596175892497949462e+03 -8.908830325468114097e+03 4.528268583900636258e+03 -9.033874407277572800e+02 1.935517213055016938e+01 -3.959344711998390665e+01
5.728578033388458807e-02 5.776800465943637164e+00 1.229648438212560002e+01 2.631652613453924914e+03 -4.231607467440285291e+03 8.694286244287275622e+03 -9.010164860023858637e+03 4.579699490196131592e+03 -9.136521789623178620e+02 1.937438852605986739e+01 -3.959344711998390665e+01
5.628381168269618734e-02 5.647315548278148079e+00 1.224338330029926425e+01 2.643763758953336037e+03 -4.298132621081277648e+03 8.838694236508705217e+03 -9.165011407465437514e+03 4.661731757742109949e+03 -9.308321022802803100e+02 1.940557882430225689e+01 -3.959344711998390665e+01
5.646868293206309258e-02 5.374731934267925837e+00 1.214966481406341359e+01 2.646307869933209986e+03 -4.311103096270661808e+03 8.865118558342521283e+03 -9.192002039340524789e+03 4.675583215861292956e+03 -9.336892316243876166e+02 1.944057585693744983e+01 -3.959344711998390665e+01
5.877662201072460929e-02 6.157995110908045966e+00 1.241015510220549523e+01 2.617310636413253633e+03 -4.158804335619579433e+03 8.548851656231134257e+03 -8.867250173708380316e+03 4.510597897769152951e+03 -9.004938305748061111e+02 1.945574752276747788e+01 -3.959344711998390665e+01
5.625051566375176976e-02 5.948618202787182341e+00 1.232875668558080662e+01 2.620733357224745760e+03 -4.172905566310565519e+03 8.569677715632022228e+03 -8.879622727356772884e+03 4.512208562926368359e+03 -8.998738230279918753e+02 1.950345004142045013e+01 -3.959344711998390665e+01
5.494457362199284961e-02 5.912726706895403694e+00 1.233255670876374843e+01 2.628259175032795611e+03 -4.215625583316043048e+03 8.665484850326443848e+03 -8.985675465922746298e+03 4.570107784273915058e+03 -9.123399534013225320e+02 1.951947492049638910e+01 -3.959344711998390665e+01
5.757219546448519298e-02 6.033909805403214754e+00 1.237175355433670276e+01 2.609389706156370266e+03 -4.114208500219601774e+03 8.449590784224708841e+03 -8.758178043786325361e+03 4.451478591014017184e+03 -8.878566810338776349e+02 1.952088804047649262e+01 -3.959344711998390665e+01
5.519861318451904642e-02 5.597433986333096634e+00 1.221942279840118140e+01 2.625419085498870572e+03 -4.200020261914296498e+03 8.631274737542700677e+03 -8.948320783544235383e+03 4.549840798638162596e+03 -9.079807599179744102e+02 1.954335986551671667e+01 -3.959344711998390665e+01
5.798526743181923321e-02 5.774611420070919543e+00 1.227566512437712198e+01 2.625919387593440206e+03 -4.205651956459622852e+03 8.649490160269253465e+03 -8.973926474135379976e+03 4.566411807292576668e+03 -9.120304372787680904e+02 1.956985871092140172e+01 -3.959344711998390665e+01
5.658835568842270763e-02 6.034757089345961667e+00 1.235326313122175712e+01 2.630324327525091121e+03 -4.227619667550538907e+03 8.693077782167059922e+03 -9.017058891968172247e+03 4.587739602912952250e+03 -9.162505203186664176e+02 1.959951707090688444e+01 -3.959344711998390665e+01
5.870949332564491530e-02 5.984459086890592694e+00 1.234642054815594747e+01 2.626363436900129727e+03 -4.205470780454198575e+03 8.643936484746134738e+03 -8.963122062585467575e+03 4.558511701183762852e+03 -9.100032476559614452e+02 1.961294412352512495e+01 -3.959344711998390665e+01
5.398300783909142780e-02 5.468161059780126010e+00 1.217277283255852716e+01 2.638016943159174843e+03 -4.268026701790511652e+03 8.776680144553640275e+03 -9.102260401131079561e+03 4.630538473636254821e+03 -9.247364293979525200e+02 1.965307284253519526e+01 -3.959344711998390665e+01
5.356638111184568174e-02 5.728436474446869653e+00 1.227713652715236314e+01 2.631896186501152897e+03 -4.234497927686780713e+03 8.704215568828496544e+03 -9.024942886038446886e+03 4.589776199487744634e+03 -9.162353267315013454e+02 1.970689155620008748e+01 -3.959344711998390665e+01
5.508775694267011719e-02 5.552085950653503410e+00 1.218921590435376245e+01 2.636178597018023538e+03 -4.258308708570102681e+03 8.756406734042408061e+03 -9.081386467470263597e+03 4.619928977074951945e+03 -9.226065806336308697e+02 1.970825035527112234e+01 -3.959344711998390665e+01
6.069166618827553927e-02 5.803765974020057783e+00 1.227853913666163166e+01 2.615887468550284211e+03 -4.149764970199727941e+03 8.526866484936084817e+03 -8.841465662336528112e+03 4.495951326859208166e+03 -8.972599947662821478e+02 1.971325159671076221e+01 -3.959344711998390665e+01
5.838485526732664632e-02 5.664617882683285366e+00 1.223178202012510596e+01 2.620915430807643133e+03 -4.177494643025905134e+03 8.587311530901966762e+03 -8.906576616951089818e+03 4.530596194988822390e+03 -9.045397913574728364e+02 1.974481487052031170e+01 -3.959344711998390665e+01
5.632562686091728554e-02 5.624014556065324300e+00 1.223563204909975255e+01 2.638974128341774303e+03 -4.272132676719283154e+03 8.782917213544926199e+03 -9.105877707138490223e+03 4.630733474105552887e+03 -9.243996720268189620e+02 1.976488301141617399e+01 -3.959344711998390665e+01
5.750971365326559143e-02 5.316385212301172558e+00 1.213071106500547458e+01 2.636320233789625490e+03 -4.260384668771258475e+03 8.763575631225347024e+03 -9.091750713489434929e+03 4.626737851896992652e+03 -9.242862982514488976e+02 1.990464889726552400e+01 -3.959344711998390665e+01
5.777205232237479088e-02 5.990807647000983671e+00 1.233905071256693731e+01 2.610782687143417661e+03 -4.121220257427888100e+03 8.463964404855611065e+03 -8.773276565258947812e+03 4.459604249300608899e+03 -8.896373204290921421e+02 1.997201865858887970e+01 -3.959344711998390665e+01
5.879755994325746443e-02 5.674614821752444804e+00 1.224065550628263388e+01 2.631716184491313470e+03 -4.233683213456132762e+03 8.702909206305539556e+03 -9.024202141939238572e+03 4.589834997346422824e+03 -9.163626848109212233e+02 2.003541021768995023e+01 -3.959344711998390665e+01
5.760026631453427776e-02 5.838873375776959307e+00 1.229372812555033612e+01 2.627788548284664557e+03 -4.212393679657059693e+03 8.657250769158255935e+03 -8.975808292511612308e+03 4.564498904300173308e+03 -9.111197530737684929e+02 2.004507436004578835e+01 -3.959344711998390665e+01
5.414278302596747805e-02 5.873205345618252693e+00 1.231583507765018659e+01 2.625539953028749096e+03 -4.202486021629524657e+03 8.640725534692273868e+03 -8.963024098758360196e+03 4.560118756937618855e+03 -9.106608520853492337e+02 2.009489420626456990e+01 -3.959344711998390665e+01
5.580960550444920287e-02 6.091428721878159536e+00 1.238153198436624081e+01 2.614852478031100873e+03 -4.142749207598091743e+03 8.509041429775588767e+03 -8.819897646755794995e+03 4.483395577906524522e+03 -8.944255677915125489e+02 2.024927796775380529e+01 -3.959344711998390665e+01
5.870637245875673371e-02 5.647076128521790750e+00 1.224162245256607839e+01 2.625944752578883708e+03 -4.204325758191329442e+03 8.643711092624615048e+03 -8.965016828179839649e+03 4.560502165143442653e+03 -9.105988765490963033e+02 2.025573393414672196e+01 -3.959344711998390665e+01
5.520495122296535662e-02 5.870200968500027372e+00 1.232715499379805379e+01 2.630882185788800598e+03 -4.230367729711683751e+03 8.698102056250998430e+03 -9.021193315281983814e+03 4.589164338928307188e+03 -9.163738495524390828e+02 2.029352119346376071e+01 -3.959344711998390665e+01
5.623348072604073683e-02 5.691468809082810942e+00 1.224557506832700149e+01 2.640224374480638744e+03 -4.281150273400423430e+03 8.807249190317477769e+03 -9.137068189957988579e+03 4.649897261724892815e+03 -9.289431803909742484e+02 2.029594139201710590e+01 -3.959344711998390665e+01
5.883456769261796726e-02 5.661596933656331210e+00 1.226238578005319901e+01 2.624269902244528112e+03 -4.193584849795057380e+03 8.617401690390021031e+03 -8.933939138094412556e+03 4.542679846780969456e+03 -9.066126407293365901e+02 2.029897258508930946e+01 -3.959344711998390665e+01
5.954367961249858870e-02 6.042661018369952508e+00 1.236950160833017698e+01 2.619265515055577907e+03 -4.166632898371720330e+03 8.560137068307441950e+03 -8.873966553813437713e+03 4.511722846354561625e+03 -9.003085454493591442e+02 2.035202574228954830e+01 -3.959344711998390665e+01
5.736889979874162937e-02 6.033795332858121974e+00 1.236076834041940309e+01 2.615574438001702219e+03 -4.147699648408976827e+03 8.521778764941987902e+03 -8.835533202989679921e+03 4.492644613399230366e+03 -8.965519923377848954e+02 2.036030531845243985e+01 -3.959344711998390665e+01
5.734966322915806963e-02 5.749291641875639236e+00 1.228350635265309876e+01 2.638619138932381702e+03 -4.272001932221494826e+03 8.786680947536053282e+03 -9.114336187980545219e+03 4.637577716468944345e+03 -9.263272773065947376e+02 2.037088900660923585e+01 -3.959344711998390665e+01
5.571231051884054097e-02 5.833335933908507798e+00 1.230603423299143451e+01 2.625463196389259338e+03 -4.201895125175995418e+03 8.638987261443568059e+03 -8.960580466596324186e+03 4.558469046475247524e+03 -9.102323546060027866e+02 2.040246315892467521e+01 -3.959344711998390665e+01
5.720988468272669714e-02 5.464910106763317899e+00 1.218217621065744716e+01 2.632416569386529773e+03 -4.236927594647952901e+03 8.708733421166083644e+03 -9.029271052162595879e+03 4.591998058955838133e+03 -9.167331172135021689e+02 2.040339961316704631e+01 -3.959344711998390665e+01
5.784159731181778841e-02 5.822492941816476808e+00 1.228196208262787437e+01 2.612842219376602770e+03 -4.132835531318389258e+03 8.489778234697540029e+03 -8.801415656037752342e+03 4.474610199337204904e+03 -8.927663460139790459e+02 2.041180711156200189e+01 -3.959344711998390665e+01
5.782698239512620852e-02 5.759414698125675081e+00 1.228773094686779110e+01 2.626812751733913046e+03 -4.206167716775755252e+03 8.641515327740366047e+03 -8.956157161848550459e+03 4.552416421974864534e+03 -9.082069879640308727e+02 2.042599581133821118e+01 -3.959344711998390665e+01
5.515897539689836038e-02 5.978242588244919276e+00 1.233235059400192490e+01 2.624512012759862500e+03 -4.194680085094384594e+03 8.619231854634785122e+03 -8.935237744960020791e+03 4.542951544172634385e+03 -9.065639042614993741e+02 2.046384422994308139e+01 -3.959344711998390665e+01
5.828815342339670191e-02 5.758574905130113386e+00 1.228344340761248077e+01 2.637837673502119287e+03 -4.266484727728999133e+03 8.771919731429836247e+03 -9.095396305265718183e+03 4.625833584945246002e+03 -9.234980206475281648e+02 2.046546471839361203e+01 -3.959344711998390665e+01
5.601889657696643848e-02 5.816475198046605399e+00 1.228125071259865386e+01 2.624315939947685365e+03 -4.192706686397405065e+03 8.612987755634654604e+03 -8.926534167019839515e+03 4.537383934359613704e+03 -9.052285279850209463e+02 2.050474310227908603e+01 -3.959344711998390665e+01
5.867560514948864936e-02 5.703913419374524452e+00 1.226337035921901553e+01 2.629126775143201939e+03 -4.221390892456310212e+03 8.679879191888725472e+03 -9.002828574461325843e+03 4.579982314441023846e+03 -9.145538525457620835e+02 2.052828111883050966e+01 -3.959344711998390665e+01
5.505997949428040328e-02 5.439440842487137218e+00 1.217133677960354454e+01 2.641408759161173293e+03 -4.285425190519896205e+03 8.811868664312747569e+03 -9.137367285724345493e+03 4.647829696197574776e+03 -9.281003217942146648e+02 2.058314453353686702e+01 -3.959344711998390665e+01
5.505701208537838037e-02 5.548454474812920090e+00 1.219143074147241812e+01 2.631581115634144680e+03 -4.232282517711568289e+03 8.698318880123048075e+03 -9.017477697522032031e+03 4.585263338946635486e+03 -9.151886068579710809e+02 2.059495360595243341e+01 -3.959344711998390665e+01
5.860941980896723635e-02 5.681435538249534289e+00 1.226281375250856343e+01 2.635230512685242047e+03 -4.252788983154932794e+03 8.743943932650226998e+03 -9.067698433246710920e+03 4.612590911739567673e+03 -9.210647478399158672e+02 2.062216599756850144e+01 -3.959344711998390665e+01
5.859201281950879303e-02 5.473638148811537540e+00 1.217947850084130046e+01 2.626207372298429163e+03 -4.205357655964823607e+03 8.645105594275120893e+03 -8.965651734082843177e+03 4.560389095450969762e+03 -9.104790345360783022e+02 2.065451460786439242e+01 -3.959344711998390665e+01
5.569206733165783796e-02 5.521322776176031510e+00 1.218642578828514367e+01 2.623758568268418458e+03 -4.191490877591868411e+03 8.614450999238975783e+03 -8.932514053420743949e+03 4.542856165511981089e+03 -9.068451091705411500e+02 2.065468086232047185e+01 -3.959344711998390665e+01
5.640794256913576887e-02 5.573657983440717167e+00 1.220515856900783369e+01 2.631867977955931565e+03 -4.233953590305956823e+03 8.702167597044428476e+03 -9.021796023876044273e+03 4.587599954603393599e+03 -9.156732314392459102e+02 2.067572764732244295e+01 -3.959344711998390665e+01
